rotina,exercicio,grupo_muscular,equipamento,unilateral,series,reps,obs
"SEGUNDA | UPPER",Supino reto,Peito,Barra,nao,3,5-8,
"SEGUNDA | UPPER",Puxada pronada,Costas,Cabo,nao,3,6-10,
"SEGUNDA | UPPER",Supino inclinado c/ halteres,Peito,Haltere,nao,2,8-10,
"SEGUNDA | UPPER",Remada baixa no cabo,Costas,Cabo,nao,3,8-10,
"SEGUNDA | UPPER",Elevação lateral,Ombros,Haltere,nao,3,8-10,
"SEGUNDA | UPPER",Crucifixo inverso,Ombros,Haltere,nao,2,8-10,
"SEGUNDA | UPPER",Rosca inclinada,Bíceps,Haltere,nao,2,8-10,
"SEGUNDA | UPPER",Tríceps na corda,Tríceps,Cabo,nao,2,8-10,
"SEGUNDA | UPPER",Cardio,Corpo todo,Outro,nao,1,30 min,zona 2
"TERÇA | LOWER",Agachamento ou hack squat,Pernas,Barra,nao,3,5-8,
"TERÇA | LOWER",Stiff,Pernas,Barra,nao,3,6-10,
"TERÇA | LOWER",Leg press,Pernas,Máquina,nao,2,8-10,
"TERÇA | LOWER",Cadeira extensora,Pernas,Máquina,nao,2,8-10,
"TERÇA | LOWER",Mesa flexora,Pernas,Máquina,nao,2,8-10,
"TERÇA | LOWER",Panturrilha,Pernas,Máquina,nao,3,8-10,
"TERÇA | LOWER",Abdominal na roda ou cabo,Core,Cabo,nao,3,8-10,
"TERÇA | LOWER",Cardio,Corpo todo,Outro,nao,1,30 min,zona 2
"QUINTA | TORSO",Supino inclinado c/ barra ou máquina,Peito,Barra,nao,3,6-10,
"QUINTA | TORSO",Puxada neutra,Costas,Cabo,nao,3,6-10,
"QUINTA | TORSO",Remada apoiada,Costas,Máquina,nao,3,8-10,
"QUINTA | TORSO",Crucifixo no cabo ou máquina,Peito,Cabo,nao,2,8-10,
"QUINTA | TORSO",Desenvolvimento,Ombros,Haltere,nao,2,8-10,
"QUINTA | TORSO",Elevação lateral,Ombros,Haltere,nao,2,8-10,
"QUINTA | TORSO",Crucifixo inverso,Ombros,Haltere,nao,2,8-10,
"QUINTA | TORSO",Cardio,Corpo todo,Outro,nao,1,30 min,zona 2
"SÁBADO | LIMBS",Leg press unilateral,Pernas,Máquina,sim,3,8-10,por perna
"SÁBADO | LIMBS",Cadeira flexora,Pernas,Máquina,nao,3,8-10,
"SÁBADO | LIMBS",Cadeira extensora,Pernas,Máquina,nao,2,8-10,
"SÁBADO | LIMBS",Rosca direta ou Scott,Bíceps,Barra,nao,3,8-10,
"SÁBADO | LIMBS",Tríceps francês,Tríceps,Haltere,nao,3,8-10,
"SÁBADO | LIMBS",Panturrilha,Pernas,Máquina,nao,3,8-10,
"SÁBADO | LIMBS",Pallof press ou prancha,Core,Cabo,nao,2,8-10,por lado
"SÁBADO | LIMBS",Cardio,Corpo todo,Outro,nao,1,30 min,zona 2
